,,Setup,,Auto,,,,,,,,,,,Teleop,,,,,,,,,
Alliance ,Team #,Hatches Hab,Balls Hab,"Cross line (0, 1, 2)",Hatches (#),,,,Balls (#),,,,"Prepares for teleop (0, 1)",Hatches (#),,,,Balls (#),,,,"Climb Level (0, 1, 2, 3)","Radio Problems (0, 1)","Match Winner (Blue = 0, Red = 1, Tie = 2)"
,,,,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,,
Palmetto Q2,,,,,,,,,,,,,,,,,,,,,,,,
Red,86,3,3,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,2,0,1,0,1
,1051,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
,1293,,,2,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,
Blue,4582,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,1758,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
,6167,,,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,
Palmetto Q3,,,,,,,,,,,,,,,,,,,,,,,,
Red,4187,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,5063,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,4823,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
Blue,4073,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,7152,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,
,6366,,,1,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,
Palmetto Q4,,,,,,,,,,,,,,,,,,,,,,,,
Red,4020,6,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,0,3,0,1
,263,,,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,
